Epoch 5, Loss nan, Accuracy 0.3537, Val Loss 1.3783, Val Accuracy 0.3773, Tammax 100, Batch size 256, Dropout 0.25
Epoch 10, Loss nan, Accuracy 0.3663, Val Loss 1.3015, Val Accuracy 0.4309, Tammax 100, Batch size 256, Dropout 0.25
Epoch 15, Loss nan, Accuracy 0.4270, Val Loss 1.2300, Val Accuracy 0.5033, Tammax 100, Batch size 256, Dropout 0.25
Epoch 20, Loss nan, Accuracy 0.4326, Val Loss 1.2856, Val Accuracy 0.4875, Tammax 100, Batch size 256, Dropout 0.25
Epoch 25, Loss nan, Accuracy 0.4667, Val Loss 1.1030, Val Accuracy 0.5291, Tammax 100, Batch size 256, Dropout 0.25
Epoch 30, Loss nan, Accuracy 0.5095, Val Loss 1.0738, Val Accuracy 0.5392, Tammax 100, Batch size 256, Dropout 0.25
Epoch 35, Loss nan, Accuracy 0.5412, Val Loss 1.1194, Val Accuracy 0.5490, Tammax 100, Batch size 256, Dropout 0.25
Epoch 40, Loss nan, Accuracy 0.5723, Val Loss 1.2052, Val Accuracy 0.5500, Tammax 100, Batch size 256, Dropout 0.25
Epoch 5, Loss nan, Accuracy 0.3361, Val Loss 1.4642, Val Accuracy 0.3765, Tammax 100, Batch size 256, Dropout 0.25
Epoch 5, Loss 1.2287, Accuracy 0.5103, Val Loss 1.2140, Val Accuracy 0.5169
Epoch 10, Loss 1.3828, Accuracy 0.4205, Val Loss 1.2199, Val Accuracy 0.5169
Epoch 15, Loss 1.1924, Accuracy 0.5192, Val Loss 1.2248, Val Accuracy 0.5129
Epoch 20, Loss 1.2103, Accuracy 0.5047, Val Loss 1.2313, Val Accuracy 0.5018
Epoch 25, Loss 1.1974, Accuracy 0.5157, Val Loss 1.2292, Val Accuracy 0.5096
Epoch 30, Loss 1.1746, Accuracy 0.5267, Val Loss 1.2081, Val Accuracy 0.5171
Epoch 35, Loss 1.4368, Accuracy 0.3862, Val Loss 1.4506, Val Accuracy 0.3912
Epoch 40, Loss 1.1561, Accuracy 0.5333, Val Loss 1.2120, Val Accuracy 0.5212
Epoch 45, Loss 1.1548, Accuracy 0.5330, Val Loss 1.2189, Val Accuracy 0.5186
Epoch 50, Loss 1.1520, Accuracy 0.5353, Val Loss 1.2230, Val Accuracy 0.5224
Epoch 5, Loss nan, Accuracy 0.3315, Val Loss 1.4685, Val Accuracy 0.3706
Epoch 10, Loss nan, Accuracy 0.3388, Val Loss 1.4662, Val Accuracy 0.3756
